AGS_BUND;BUNDESLAND;AGS;GEMEINDE;BEV_INGESAMT;BEV_MAENNLICH;BEV_WEIBLICH;;;;;;
1;Schleswig-Holstein;1054100;Osterhever;249;119;130;;;;;;
1;Schleswig-Holstein;1054101;Oster-Ohrstedt;624;322;302;;;;;;
1;Schleswig-Holstein;1054103;Pellworm; 1 179;552;627;;;;;;
1;Schleswig-Holstein;1054104;Poppenbüll;238;121;117;;;;;;
1;Schleswig-Holstein;1054105;Ramstedt;435;210;225;;;;;;
1;Schleswig-Holstein;1054106;Rantrum; 1 653;832;821;;;;;;
1;Schleswig-Holstein;1054108;Reußenköge;356;189;167;;;;;;
1;Schleswig-Holstein;1054109;Risum-Lindholm; 3 642; 1 818; 1 824;;;;;;
1;Schleswig-Holstein;1054110;Rodenäs;443;231;212;;;;;;
1;Schleswig-Holstein;1054113;Sankt Peter-Ording; 3 799; 1 777; 2 022;;;;;;
1;Schleswig-Holstein;1054116;Schwabstedt; 1 320;647;673;;;;;;
1;Schleswig-Holstein;1054118;Schwesing;919;464;455;;;;;;
1;Schleswig-Holstein;1054119;Seeth;580;289;291;;;;;;
1;Schleswig-Holstein;1054120;Simonsberg;785;390;395;;;;;;
1;Schleswig-Holstein;1054121;Sönnebüll;270;132;138;;;;;;
1;Schleswig-Holstein;1054123;Sollwitt;287;143;144;;;;;;
1;Schleswig-Holstein;1054124;Sprakebüll;232;123;109;;;;;;
1;Schleswig-Holstein;1054125;Stadum;987;526;461;;;;;;
1;Schleswig-Holstein;1054126;Stedesand;848;428;420;;;;;;
1;Schleswig-Holstein;1054128;Struckum;990;485;505;;;;;;
1;Schleswig-Holstein;1054129;Süderende;198;92;106;;;;;;
1;Schleswig-Holstein;1054130;Süderhöft;19;10;9;;;;;;
1;Schleswig-Holstein;1054131;Süderlügum; 2 289; 1 121; 1 168;;;;;;
